run_id,time_s,peak_mem_mb,accuracy
1,0.5974,453.62,0.1153
2,0.4917,313.42,0.1153
3,0.4837,297.33,0.1153
4,0.5214,293.64,0.1153
5,0.5737,292.88,0.1153
